run,X1_coded,X2_coded,X3_coded,X1_osmogen_pct,X2_coating_mm,X3_pore_former_pct,Y1_pct,Y2_pct,Y3_pct,Y4
F-1,0.000,0.000,1.682,10,0.5,14.72,9.26,42.23,70.95,0.915
F-2,1.000,1.000,−1.000,15,0.8,4,31.29,72.23,100,0.5946
F-3,0.000,0.000,0.000,10,0.5,8,13.95,38.12,79.43,0.9498
F-4,0.000,1.682,0.000,10,1.00,8,28.93,55.23,85.74,0.6422
F-5,−1.000,1.000,1.000,5,0.8,12,9.29,17.92,44.76,0.9009
F-6,0.000,0.000,0.000,10,0.5,8,8.79,40.55,80.43,0.9813
F-7,−1.000,−1.000,−1.000,5,0.2,4,27.04,51.98,100,0.8191
F-8,1.682,0.000,0.000,18.40,0.5,8,12.05,60.02,97.23,0.9578
F-9,−1.000,−1.000,1.000,5,0.2,12,6.09,12.23,40.2,0.9238
F-10,0.000,0.000,0.000,10,0.5,8,9.04,41.55,77.34,0.9594
F-11,0.000,0.000,−1.682,10,0.5,1.27,31.65,55.71,99,0.8072
F-12,0.000,0.000,0.000,10,0.5,8,12.47,37.08,81.04,0.9582
F-13,−1.000,1.000,−1.000,5,0.8,4,21.26,60.12,100,0.7949
F-14,1.000,1.000,1.000,15,0.8,12,10.37,51.55,99.59,0.9955
F-15,1.000,−1.000,1.000,15,0.2,12,10.75,49.88,98.37,0.9944
F-16,0.000,0.000,0.000,10,0.5,8,11.01,37.12,79.43,0.9542
F-17,0.000,0.000,0.000,10,0.5,8,10.36,36.15,76.49,0.9702
F-18,−1.682,0.000,0.000,1.59,0.5,8,3.06,21.04,30.06,0.9249
F-19,0.000,−1.682,0.000,10,−0.004,8,0,0,0,0
F-20,1.000,−1.000,−1.000,15,0.2,4,29.87,65.84,100,0.7417
