Formulation,Core Tablet Weight (mg (n=20),Coated Tab Weight (n=20),Core Tab Thickness mm (n=20),Coated Tab Thickness mm (n=20),Core Tab Diameter mm (n=20),Coated Diameter mm (n=20),Core Tab Hardness kg/cm 2 (n=20),Coated Tablet Hardness kg/cm 2 (n=20),Friability (% n=20),Drug Content % (n=20)
F-1,201.15±9.33,222.9±3.79,3.23 ±0.127,4.67 ±0.39,8.66 ± 0.455,9.64± 0.28,7.59±0.496,10.16±0.48,0.183 ± 0.12,97.07±0.962
F-2,199.2 ± 9.73,205.1 ±4.55,3.22 ±0.134,4.37±0.21,8.71 ± 0.203,9.62 ± 0.28,8.01±0.516,10.14±0.39,0.221 ±0.13,100.06± 1.4
F-3,206.55 ± 7.27,209.7±7.84,3.25 ±0.146,4.40±0.29,8.69 ± 0.193,9.65±0.15,7.58±0.373,10.26 ± 0.44,0.177 ±0.12,99.82±1.13
F-4,200.85 ± 9.81,208.3±7.47,3.28 ±0.158,4.51±0.25,8.76 ± 0.145,9.77±0.14,7.73±0.506,9.97 ± 0.43,0.193 ± 0.14,100.531±0.2
F-5,201.5 ± 8.90,219.3±5.11,3.23 ±0.131,4.57±0.33,8.79 ± 0.30,9.80±0.06,7.54±0.382,10.34 ± 0.28,0.186 ± 0.11,97.37±1.67
F-6,201.1 ± 8.91,212.15±4.00,3.22 ±0.129,4.55±0.32,8.77 ±0.039,9.76±0.173,7.63±0.319,10.26 ± 0.44,0.226 ± 0.11,97.06±0.74
F-7,205.3 ± 9.52,208.15±5.21,3.24 ±0.127,3.37±0.42,8.69 ± 0.181,9.67±0.21,7.63±0.488,10.19 ± 0.5,0.193 ± 0.14,100.14±1.24
F-8,197.9 ± 8.36,222.7±7.022,3.30 ±0.162,4.54±0.34,8.76 ± 0.084,9.75± 0.17,7.82±0.551,10.0 ± 0.41,0.203 ± 0.11,99.84±1.45
F-9,199.5 ± 9.37,220.8±5.65,3.33 ±0.229,4.43±0.26,8.71 ± 0.175,9.68± 0.26,8.05±0.589,10.12 ± 0.52,0.239 ± 0.16,99.07±1.45
F-10,200.35 ± 9.74,213.8±7.06,3.28 ±0.152,4.58±0.301,8.76 ± 0.065,9.77± 0.07,7.68±0.574,10.06 ± 0.39,0.241 ±0.10,100.32±0.88
F-11,200.75 ± 8.48,200.5±5.97,3.20 ±0.229,4.39±0.27,8.76 ± 0.04,9.59± 0.31,7.73±0.444,10.09 ± 0.46,0.176 ± 0.12,98.94±1.62
F-12,204.6 ± 6.75,211.2±5.42,3.28 ±0.184,4.44±0.21,8.68 ±0.219,9.67± 0.23,8.11±0.461,9.99± 0.45,0.2 ± 0.12,99.49±1.07
F-13,201.75 ± 6.28,204.5±4.77,3.24 ±0.122,4.39±0.22,8.60 ± 0.129,9.67± 0.15,7.33±0.493,9.74 ± 0.49,0.17 ± 0.9,98.80±1.67
F-14,205 ± 7.36,218.65±5.96,3.24 ± 0.12,4.42±0.27,8.74 ± 0.080,9.76± 0.11,7.32±0.488,9.98 ± 0.42,0.192 ± 0.13,97.92±0.84
F-15,204.75 ± 7.98,223.35±6.01,3.30 ±0.179,4.44±0.27,8.73 ± 0.141,9.75± 0.11,7.56±0.430,9.85 ± 0.46,0.184 ± 0.12,98.076±0.97
F-16,202.6 ± 8.65,214.75±5.26,3.36 ±0.245,4.39±0.17,8.76 ± 0.128,9.64± 0.19,7.40±0.474,9.86 ± 0.5,0.209 ± 0.15,100.29±0.61
F-17,203.05 ± 8.45,213.95±4.37,3.26 ± 0.176,4.51±0.26,8.80 ± 0.049,9.71± 0.12,7.78±0.550,10.03 ± 0.48,0.178 ± 0.11,100.2±0.73
F-18,203.3 ± 5.23,213.95±5.70,3.34 ± 0.233,4.42±0.24,8.74 ± 0.079,9.69± 0.19,7.03±0.492,9.97 ± 0.46,0.19 ± 0.14,100.13±1.13
F-19,198.55 ± 8.03,212.2±5.75,3.26 ± 0.151,4.57±0.23,8.64 ± 0.182,9.68± 0.17,7.12±0.654,10.12 ±0.51,0.225 ± 0.11,99.69±1.08
F-20,200.45 ± 8.73,204.75±5.09,3.21 ± 0.176,4.50±0.27,8.70 ± 0.247,9.54± 0.22,7.58±0.437,10.05 ± 0.42,0.211 ± 0.13,100.48±0.22
