Formulation,Zero Order,First Order,Higuchi,Hixon Crowell,Korsmeyer Peppas
Code,r 2,K o (h −1 ),r 2,K 1 (h −1 ),r 2,K H (h −1/2 ),r 2,K HC (h −1/3 ),r 2,K KP (h n ),n
F-1,0.9150,7.024,0.9732,0.113,0.8920,19.858,0.9712,0.033,9619,12.215,0.745
F-2,0.5946,10.315,0.9755,0.269,0.9852,19.858,0.9582,0.072,0.9853,30.54,0.495
F-3,0.9498,7.250,0.9594,0.116,0.8910,20.359,0.9696,0.033,0.9770,11.41,0.791
F-4,0.6422,8.442,0.9255,0.168,0.9874,24.655,0.8807,0.046,0.9875,24.255,0.508
F-5,0.9009,3.469,0.9030,0.042,0.8421,9.758,0.9035,0.013,0.9217,5.355,0.800
F-6,0.9813,8.442,0.9647,0.113,0.8595,20.082,0.9818,0.033,0.9874,9.150,0.892
F-7,0.8191,9.212,0.9233,0.186,0.9511,26.500,0.9236,0.051,0.9704,21.454,0.608
F-8,0.9778,9.373,0.9426,0.177,0.8834,26.277,0.9740,0.050,0.9804,14.158,0.811
F-9,0.9238,3.155,0.9391,0.037,0.7427,8.645,0.9080,0.012,0.9301,2.260,1.151
F-10,0.9594,7.299,0.9650,0.116,0.8655,20.389,0.9779,0.034,0.9739,10.291,0.842
F-11,0.8072,8.922,0.9010,0.174,0.9445,25.666,0.8992,0.048,0.9616,21.018,0.602
F-12,0.9582,7.304,0.9537,0.116,0.8803,20.480,0.9672,0.034,0.9770,10.811,0.820
F-13,0.7949,9.952,0.9534,0.224,0.9608,28.735,0.9592,0.061,0.9759,24.039,0.591
F-14,0.9955,8.528,0.9120,0.142,0.8387,23.523,0.9550,0.041,0.9959,9.064,0.972
F-15,0.9944,8.309,0.9120,0.135,0.8222,22.828,0.9474,0.039,0.9945,8.015,1.016
F-16,0.9542,7.044,0.9504,0.110,0.8783,19.757,0.9617,0.032,0.9732,10.471,0.818
F-17,0.9702,6.764,0.9683,0.103,0.8760,18.909,0.9789,0.030,0.9838,9.491,0.845
F-18,0.9249,2.916,0.9610,0.034,0.9115,8.256,0.9509,0.011,0.9780,5.196,0.734
F-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F-20,0.7417,9.957,0.9547,0.230,0.9788,28.900,0.9509,0.062,0.9848,26.011,0.554
