run,particle_size_nm,particle_size_sd,pdi,pdi_sd,ee_pct,ee_sd
1,74.2,5.3,0.219,0.011,57.0,6.4
2,75.0,3.7,0.220,0.027,60.0,4.9
3,65.4,7.7,0.213,0.020,49.0,7.7
4,66.6,8.3,0.215,0.023,53.0,5.6
5,67.4,6.2,0.216,0.032,54.0,4.1
6,106.3,4.6,0.234,0.021,67.2,7.5
7,78.1,5.2,0.224,0.024,61.0,3.0
8,103.2,4.1,0.228,0.027,63.5,5.2
9,106.7,5.3,0.235,0.031,84.5,6.9
10,188.7,6.8,0.249,0.019,89.3,5.2
11,165.3,8.9,0.240,0.029,87.9,6.4
12,186.1,9.3,0.244,0.028,88.6,3.7
13,123.4,4.5,0.239,0.011,85.0,7.2
14,231.6,8.1,0.253,0.029,89.6,8.8
15,234.6,6.3,0.283,0.014,90.2,2.9
16,236.1,9.4,0.286,0.022,90.5,5.9
17,232.5,7.2,0.256,0.016,90.0,3.8
18,298.4,6.1,0.342,0.023,93.2,2.6
19,247.0,5.4,0.292,0.019,92.1,3.1
20,302.1,9.3,0.351,0.020,93.5,2.9
21,387.2,7.6,0.336,0.016,93.0,2.5
22,265.2,8.3,0.314,0.023,92.3,3.4
