run,ee_pct,ee_sd,ps_nm,ps_sd,zp_mV,zp_sd,pdi,pdi_sd,q2h_pct,q2h_sd,q24h_pct,q24h_sd
D1,68.61,1.41,565.45,38.35,–42.20,0.10,0.42,0.11,40.28,1.23,68.19,2.83
D2,56.55,1.37,506.85,6.35,–39.00,0.60,0.24,0.05,36.45,2.45,65.98,1.02
D3,74.03,1.46,480.90,14.30,–42.70,1.60,0.30,0.01,35.62,1.03,62.37,3.91
D4,43.59,1.28,315.80,0.20,–32.30,4.00,0.34,0.00,44.50,4.23,76.69,1.23
D5,65.74,0.83,448.10,16.90,–44.20,0.00,0.35,0.03,41.85,2.03,71.09,2.04
D6,62.08,1.05,512.55,0.65,–35.35,0.25,0.25,0.03,36.62,1.80,66.43,4.68
D7,77.58,5.00,478.15,15.05,–36.25,0.65,0.24,0.01,40.91,2.05,65.36,3.64
D8,68.93,0.84,327.30,9.50,–38.80,0.50,0.50,0.03,40.02,4.10,68.33,2.94
D9,50.64,2.50,509.40,49.40,–41.70,2.80,0.34,0.00,44.93,3.89,68.39,3.01
D10,77.80,0.96,426.15,3.45,–28.05,1.25,0.32,0.01,41.92,2.58,75.00,1.04
D11,75.67,0.51,432.50,6.20,–31.35,0.05,0.43,0.02,46.44,1.04,78.31,0.94
D12,81.64,0.05,492.05,10.95,–42.00,0.30,0.08,0.13,41.92,2.48,75.00,2.71
D13,64.59,2.29,306.00,20.20,–36.25,4.45,0.42,0.00,38.89,1.98,65.95,3.14
D14,73.53,6.11,575.25,18.75,–42.10,0.20,0.47,0.02,45.20,1.65,75.16,1.06
D15,55.45,1.66,501.25,17.75,–29.20,1.10,0.34,0.01,44.26,1.23,71.44,2.35
D16,75.56,2.66,482.95,5.45,–35.05,0.25,0.22,0.07,45.13,3.96,78.38,1.46
D17,80.22,7.47,536.35,4.95,–43.20,1.90,0.19,0.09,43.75,0.92,75.98,2.36
D18,73.58,3.49,561.30,2.90,–35.20,0.10,0.37,0.02,47.20,2.93,80.09,0.92
D19,82.06,2.52,579.40,3.10,–39.10,0.60,0.23,0.01,41.97,1.58,70.63,2.68
D20,54.31,0.00,406.10,24.00,–26.10,0.00,0.49,0.03,49.28,0.51,81.99,1.05
D21,62.98,1.93,413.05,2.75,–24.40,0.00,0.28,0.10,43.97,2.93,71.97,2.01
D22,54.31,0.00,413.60,31.50,31.50,0.00,0.49,0.03,49.28,1.95,81.99,2.58
